2024-11-11 15:46:37.551 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 15:48:30.045 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 15:48:30.298 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 15:49:46.167 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 15:50:09.748 | INFO     | dialogs.main:city_handler:15 - City received: краснодар
2024-11-11 16:14:40.570 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 16:14:40.831 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:00:59.516 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:01:07.858 | INFO     | dialogs.main:city_handler:15 - City received: краснодар
2024-11-11 23:01:07.858 | INFO     | telegram_bot.parser:forecast_parser:7 - Fetching weather for city: None
2024-11-11 23:01:18.254 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:01:18.806 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:01:21.481 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:01:29.161 | INFO     | dialogs.main:city_handler:15 - City received: moscow
2024-11-11 23:01:29.161 | INFO     | telegram_bot.parser:forecast_parser:7 - Fetching weather for city: None
2024-11-11 23:03:16.649 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:03:16.905 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:04:52.478 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:05:01.873 | INFO     | dialogs.main:city_handler:15 - City received: krasnodar
2024-11-11 23:05:01.873 | WARNING  | dialogs.forecast:get_forecast:16 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:05:45.277 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:05:45.538 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:05:48.192 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:06:00.685 | INFO     | dialogs.main:city_handler:15 - City received: london
